algo,timingFullProtocol,timingProcessServerHello,timingWriteClientHello
P256,97.041536,0.013210,0.158642
P256,97.810974,0.009421,0.171552
P256,97.420978,0.009050,0.174002
P256,98.688094,0.005170,0.126021
P256,97.251488,0.008551,0.184861
P256,98.564466,0.006580,0.205482
P256,98.800162,0.008120,0.172932
P256,97.540290,0.006731,0.143682
P256,97.157273,0.008300,0.185382
P256,98.199774,0.009441,0.208433
P256,98.472497,0.006000,0.160321
P256,97.934613,0.008750,0.182742
P256,97.717570,0.008300,0.171652
P256,97.880391,0.007270,0.150282
P256,97.862532,0.006780,0.198203
P256,98.355464,0.008420,0.181512
P256,97.835171,0.012960,0.177802
P256,98.111704,0.004720,0.139762
P256,98.165255,0.009160,0.187413
P256,96.490097,0.007490,0.166852
P256,97.260304,0.008270,0.167952
P256,98.055443,0.007280,0.373435
P256,97.722399,0.010560,0.215522
P256,96.873330,0.007990,0.179712
P256,98.008152,0.012300,0.164072
P256,97.826708,0.007620,0.173242
P256,98.031283,0.008390,0.225833
P256,97.940871,0.008310,0.196022
P256,97.464587,0.007960,0.166022
P256,97.850884,0.008950,0.173462
P256,97.040902,0.008500,0.194682
P256,98.964492,0.008810,0.254343
P256,97.545077,0.008350,0.293744
P256,97.642126,0.008960,0.191483
P256,97.682907,0.009111,0.369344
